URL,Domain,Labels Used,Citations,Cases,Record Types,Verbatim Quotes,Deep Links,HTTP Status,Page Exists,Claim Supported,Verdict,Notes
https://coastalreview.org/2022/06/vaughn-hagerty-the-reporter-who-broke-the-genx-story/,coastalreview.org,Coastal Review profile of the reporting | Coastal Review,9,GenX Contamination in the Cape Fear River,Evidence | Participation instance | Mechanism that should have worked | Proposal chain counter-evidence | Proposal chain evidence | Comparable case | Timeline entry,3,#/case/genx-pfas/chain/pfas-harm/D4 | #/case/genx-pfas/chain/pfas-harm/D4/p/0 | #/case/genx-pfas/spine/m/3 | #/case/genx-pfas/spine/pr/0/l/2 | #/case/genx-pfas/spine/pr/1/l/2 | #/case/genx-pfas/spine/pr/3/l/0 | #/case/genx-pfas/spine/pr/3 | #/case/genx-pfas/timeline,,,,,
https://ehp.niehs.nih.gov/doi/10.1289/EHP6837,ehp.niehs.nih.gov,Kotlarz et al. 2020,6,GenX Contamination in the Cape Fear River,Impact evidence | Proposal chain evidence,0,#/case/genx-pfas/spine/i/1 | #/case/genx-pfas/spine/pr/0/l/3 | #/case/genx-pfas/spine/pr/1/l/2 | #/case/genx-pfas/spine/pr/2/l/3 | #/case/genx-pfas/spine/pr/3/l/2 | #/case/genx-pfas/spine/pr/6/l/2,,,,,
https://www.epa.gov/sites/default/files/2020-05/documents/_epaoig_20200528-20-e-0177_0.pdf,epa.gov,EPA Office of Inspector General | US Environmental Protection Agency | EPA OIG,6,GenX Contamination in the Cape Fear River,Evidence | Mechanism that should have worked | Proposal chain counter-evidence | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/D2 | #/case/genx-pfas/spine/m/1 | #/case/genx-pfas/spine/pr/6/l/1 | #/case/genx-pfas/timeline,,,,,
https://www.wral.com/story/timeline-tracking-the-route-of-genx-in-the-cape-fear-river/16869639/,wral.com,WRAL timeline | WRAL,6,GenX Contamination in the Cape Fear River,Evidence | Participation instance | Proposal chain evidence | Timeline entry,3,#/case/genx-pfas/chain/pfas-harm/D1 | #/case/genx-pfas/chain/pfas-harm/D4 | #/case/genx-pfas/chain/pfas-harm/R1 | #/case/genx-pfas/chain/pfas-harm/R1/p/2 | #/case/genx-pfas/spine/pr/3/l/1 | #/case/genx-pfas/timeline,,,,,
https://edworkingpapers.com/sites/default/files/ai20-304.pdf,edworkingpapers.com,Hartney and Finger 2020,5,COVID-19 School Closures and Reopenings,Mechanism that should have worked | Proposal chain counter-evidence | Comparable case,2,#/case/covid-schools/spine/m/2 | #/case/covid-schools/spine/m/6 | #/case/covid-schools/spine/pr/1/l/2 | #/case/covid-schools/spine/pr/2/l/1 | #/case/covid-schools/spine/pr/2,,,,,
https://levinlaw.com/dupont-c8-and-health,levinlaw.com,Levin Law,5,GenX Contamination in the Cape Fear River,Evidence | Participation instance | Proposal chain evidence | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/D1 | #/case/genx-pfas/chain/pfas-harm/D1/p/0 | #/case/genx-pfas/spine/pr/1/l/0 | #/case/genx-pfas/timeline,,,,,
https://www.epa.gov/dwreginfo/public-notification-rule,epa.gov,US Environmental Protection Agency,5,GenX Contamination in the Cape Fear River,Mechanism that should have worked | Proposal chain evidence | Proposal chain counter-evidence | Comparable case,0,#/case/genx-pfas/spine/m/4 | #/case/genx-pfas/spine/pr/2/l/0 | #/case/genx-pfas/spine/pr/3/l/0 | #/case/genx-pfas/spine/pr/3,,,,,
https://www.selc.org/wp-content/uploads/2022/12/2022-12-05-SELC-timeline-NC-GenX-PFAS-pollution-Chemours.pdf,selc.org,SELC timeline | SELC,5,GenX Contamination in the Cape Fear River,Evidence | Participation instance | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/R2 | #/case/genx-pfas/chain/pfas-harm/R3/p/0 | #/case/genx-pfas/chain/pfas-harm/R4/p/0 | #/case/genx-pfas/timeline,,,,,
https://www.supremecourt.gov/opinions/21pdf/21a244_hgci.pdf,supremecourt.gov,NFIB v. OSHA | US Supreme Court | SCOTUS Opinion | SCOTUS,5,COVID-19 Vaccine Mandates,Evidence | Mechanism that should have worked | Timeline entry,1,#/case/covid-vaccines/chain/vax-total/V5 | #/case/covid-vaccines/spine/m/3 | #/case/covid-vaccines/spine/m/4 | #/case/covid-vaccines/timeline,,,,,
http://www.c8sciencepanel.org/pdfs/Probable_Link_C8_Cancer_16April2012_v2.pdf,c8sciencepanel.org,C8 Science Panel,4,GenX Contamination in the Cape Fear River,Impact evidence | Proposal chain evidence | Comparable case,2,#/case/genx-pfas/spine/i/2 | #/case/genx-pfas/spine/pr/0/l/3 | #/case/genx-pfas/spine/pr/4/l/0 | #/case/genx-pfas/spine/pr/4,,,,,
