Original Case Cluster,Cluster Status,Causal Chain Placement,Resource Title,URL,Key Finding
COVID Info Channels,Cluster partly represented (4 of 7 placed),Info channel -> trust (localization),"An interactive online dashboard for tracking COVID-19 in U.S. counties, cities, and states in real time - PMC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7392234/,JHU CSSE first to publicly aggregate case data
COVID Info Channels,Cluster partly represented (4 of 7 placed),Trust in institutions vs leaders -> compliance,"Trust in Institutions, Not in Political Leaders, Determines Compliance in COVID-19 Prevention Measures - PubMed",https://pubmed.ncbi.nlm.nih.gov/34285713/,12-country study: institutional trust (not leader trust) predicts compliance
COVID Info Channels,Cluster partly represented (4 of 7 placed),Trust in institutions vs leaders -> compliance,Public Trust and Policy Compliance during the COVID-19 Pandemic: The Role of Professional Trust,https://www.tandfonline.com/doi/full/10.1080/23299460.2021.1963139,Thailand study: govt trust effect mediated almost entirely by trust in professionals
COVID Vaccine,Cluster partly represented (1 of 12 placed),Fear + inequality -> trust erosion,"A Review of Mental Health Disparities During COVID-19: Evidence, Mechanisms, and Policy Recommendations - PMC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9877706/,"Case/death rates higher in segregated areas, amplified by income inequality"
COVID Vaccine,Cluster partly represented (1 of 12 placed),Participation solution -> trust repair,Effectiveness of citizen review panels - ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0190740904001057,Citizen review panels surface problems but rarely translate to binding action
COVID Vaccine,Cluster partly represented (1 of 12 placed),Participation solution -> trust repair,Court Appointed Scientific Experts: A Handbook for Experts (AAAS),https://www.aaas.org/sites/default/files/2021-02/handbookexperts%203.0%202021.pdf,AAAS helps judges find neutral experts; litigation-only model
COVID Vaccine,Cluster partly represented (1 of 12 placed),Participation solution -> trust repair,Expert Advisory Panel / Participatory budgeting steering committees,https://www.participatorybudgeting.org/what-is-pb/,"Closest democratic precedent for resident-elected review committees (Chicago, Porto Alegre, Warsaw)"
COVID Vaccine,Cluster partly represented (1 of 12 placed),Mutual aid -> trust/harm reduction,Values and Beliefs Underlying Mutual Aid - Journal of the Society for Social Work and Research,https://www.journals.uchicago.edu/doi/full/10.1086/716884,"3 values: reciprocity, shared humanity, community-driven redistribution"
COVID Vaccine,Cluster partly represented (1 of 12 placed),Mutual aid -> trust/harm reduction,Mutual Aid and Community Care in the COVID-19 Era,https://acss.org.uk/understanding-and-supporting-the-role-of-mutual-aid-groups-in-the-covid-19-pandemic/,"Prioritized isolated populations: sick, disabled, elderly, undocumented, POC"
COVID Vaccine,Cluster partly represented (1 of 12 placed),Mutual aid -> trust/harm reduction,What Mutual Aid Can Do During a Pandemic - The New Yorker,https://www.newyorker.com/magazine/2020/05/18/what-mutual-aid-can-do-during-a-pandemic,Pre-existing organizing infrastructure (tenant unions) rapidly repurposed into mutual aid
COVID Vaccine,Cluster partly represented (1 of 12 placed),Mutual aid -> trust/harm reduction,Understanding and supporting the role of mutual aid groups in the Covid-19 pandemic (UK),https://pmc.ncbi.nlm.nih.gov/articles/PMC8563598/,Volunteer burnout & lack of institutional support threaten durability post-emergency
COVID Vaccine,Cluster partly represented (1 of 12 placed),Taiwan comparator: high-freq comms -> trust,"Taiwan's COVID-19 Management: Developmental State, Digital Governance, and State-Society Synergy",https://pmc.ncbi.nlm.nih.gov/articles/PMC7537052/,"Daily press briefings from Jan 5 2020 anchored societal calm, reduced need for coercion"
COVID Vaccine,Cluster partly represented (1 of 12 placed),Taiwan comparator: high-freq comms -> trust,High Acceptance of COVID-19 Tracing Technologies in Taiwan: A Nationally Representative Survey Analysis - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8954552/,"73% baseline acceptance of contact tracing, rising to 88% with privacy safeguards"
